Journal ,Volume ,Year,Pages ,Source ,Converted to Plain Text? 
Le_Journal_des_sçavans,Unknown,1768,955,Gallica,No
Le_Journal_des_sçavans,Unknown,1753,899,Gallica,No
Journal_de_médecine_militaire,Volume 1,1781,580,Google Books,No
Journal_de_médecine_militaire,Volume 2,1782,578,Google Books,No
Journal_de_médecine_militaire,Volume 3,1783,540,Google Books,No
Journal_de_médecine_militaire,Volume 4,1784,574,Google Books,No
Journal_de_médecine_militaire,Volume 5,1785,568,Google Books,No
Journal_de_médecine_militaire,Volume 6,1786,574,Google Books,No
Journal_de_médecine_militaire,Volume 7,1787,720,Google Books,No
,,,5988,,
